iter	MultiClass
0	1.089488166
1	1.08145082
2	1.073197519
3	1.065415139
4	1.057461609
5	1.051500797
6	1.045010979
7	1.03988276
8	1.033600596
9	1.027563763
10	1.021200332
11	1.015336173
12	1.01038345
13	1.005862197
14	0.9997424478
15	0.9947954459
16	0.9892324936
17	0.9844630059
18	0.9792058143
19	0.9740938843
20	0.9691009308
21	0.9640906712
22	0.9594703029
23	0.9537493821
24	0.9486093855
25	0.9436751827
26	0.9392440787
27	0.9345499782
28	0.9305662065
29	0.9267523439
30	0.9220220049
31	0.9175175226
32	0.9134307128
33	0.9097267309
34	0.906669272
35	0.9025476652
36	0.8992160386
37	0.8953143408
38	0.890608622
39	0.8875788317
40	0.8845242372
41	0.8810656165
42	0.8766900426
43	0.8730781145
44	0.869273702
45	0.8658740714
46	0.8624953803
47	0.8592692831
48	0.8549013126
49	0.8525840911
50	0.8487922615
51	0.8457941694
52	0.8420156396
53	0.8384606522
54	0.8346573351
55	0.8313452064
56	0.8276260793
57	0.8241922222
58	0.8217543961
59	0.8187690499
60	0.8155519059
61	0.8130191821
62	0.8100247249
63	0.8072752612
64	0.8050983631
65	0.8021501605
66	0.7984449996
67	0.7961172286
68	0.7933209644
69	0.790612194
70	0.7878252759
71	0.784432521
72	0.7812602478
73	0.7781364096
74	0.7758295667
75	0.7727980266
76	0.769996174
77	0.7676365466
78	0.7651311878
79	0.7635568711
80	0.761433649
81	0.7592038815
82	0.7562573215
83	0.7533292811
84	0.7511437107
85	0.7487460173
86	0.7463306878
87	0.7439251702
88	0.7420592897
89	0.7398662425
90	0.7375858177
91	0.7358995399
92	0.7338150723
93	0.7311252131
94	0.7293188354
95	0.7270226929
96	0.7248452986
97	0.7219974268
98	0.7197140222
99	0.7173022399
100	0.7151426749
101	0.7127114537
102	0.7108087198
103	0.7086284701
104	0.705942416
105	0.7045852236
106	0.7023125588
107	0.7007067815
108	0.6987051059
109	0.6970084621
110	0.694867176
111	0.6933266255
112	0.6912679374
113	0.6897864649
114	0.6881347579
115	0.6859827279
116	0.6838774716
117	0.6816251935
118	0.6802703622
119	0.6779946657
120	0.6764454993
121	0.6748285994
122	0.6732129965
123	0.6713692444
124	0.6696467714
125	0.6680663794
126	0.6668100999
127	0.6652555282
128	0.6638983964
129	0.6620142401
130	0.659950896
131	0.6579968159
132	0.6564815136
133	0.654338346
134	0.6528351909
135	0.6506073608
136	0.6492010852
137	0.6476909914
138	0.6465917534
139	0.6447499754
140	0.6427786148
141	0.6409206324
142	0.6388862467
143	0.6369490204
144	0.6346578769
145	0.6327558908
146	0.6306353213
147	0.6291165093
148	0.6279551559
149	0.6265100849
150	0.625074708
151	0.6238340119
152	0.6221115124
153	0.6204068014
154	0.6187726318
155	0.6176707782
156	0.6161092034
157	0.6144009106
158	0.6123721889
159	0.6110460746
160	0.609541256
161	0.6086355007
162	0.6070908248
163	0.6058066782
164	0.6042869008
165	0.6026756398
166	0.6011344374
167	0.5987548113
168	0.5973483071
169	0.5963253125
170	0.5947862928
171	0.5932470432
172	0.5916343243
173	0.5899074417
174	0.5885371713
175	0.5872465741
176	0.5862980286
177	0.5851752983
178	0.5841970808
179	0.5830431604
180	0.5815426474
181	0.5794263404
182	0.5782889926
183	0.5766909665
184	0.5751601742
185	0.5745154721
186	0.5729593493
187	0.5712185866
188	0.5699235483
189	0.5685720161
190	0.5669949824
191	0.5655827592
192	0.5644095021
193	0.5630705757
194	0.561909189
195	0.5604880774
196	0.5585992877
197	0.5571071139
198	0.5556756088
199	0.5548052695
200	0.55345084
201	0.5522516905
202	0.5511471995
203	0.5501437853
204	0.5485357451
205	0.5473445056
206	0.5459502849
207	0.5442583059
208	0.5430380174
209	0.5424746759
210	0.5409931823
211	0.5399600984
212	0.5382171797
213	0.5368158959
214	0.535581119
215	0.5341117751
216	0.5332250455
217	0.5316994513
218	0.5305653196
219	0.5297170517
220	0.5290022491
221	0.5282334845
222	0.5272302928
223	0.5261489191
224	0.5253263856
225	0.5246712362
226	0.5235396919
227	0.5225400855
228	0.5218432761
229	0.5210111381
230	0.5198590537
231	0.5188196778
232	0.5179403454
233	0.5171924209
234	0.5158456069
235	0.5143772885
236	0.5136583297
237	0.5129445943
238	0.5117562263
239	0.5110205681
240	0.5098125624
241	0.5088695168
242	0.5078814357
243	0.5068303716
244	0.5061134938
245	0.5051521893
246	0.5040897936
247	0.5027604919
248	0.5017045212
249	0.5004689083
250	0.4995527239
251	0.498260276
252	0.4969391638
253	0.4959340284
254	0.4946921425
255	0.493768758
256	0.4927226139
257	0.4918721564
258	0.4911318229
259	0.4901692794
260	0.4893865537
261	0.4881710617
262	0.4871725597
263	0.4863163425
264	0.4855324456
265	0.4849961287
266	0.4839254303
267	0.4831199417
268	0.4822085605
269	0.4812009613
270	0.480534532
271	0.4794262551
272	0.4781689969
273	0.4771323298
274	0.4764414073
275	0.4755230324
276	0.4746419735
277	0.4739398733
278	0.4728841458
279	0.4720384119
280	0.4712128601
281	0.470462459
282	0.4693155177
283	0.4686065359
284	0.4677275069
285	0.4666928441
286	0.4658171602
287	0.4650856656
288	0.4642495416
289	0.4633636895
290	0.4621549406
291	0.4614346983
292	0.4604159445
293	0.459471367
294	0.4585998599
295	0.4576226298
296	0.4567108986
297	0.4553931865
298	0.4546613378
299	0.4539234694
300	0.453184822
301	0.4523930091
302	0.4511747194
303	0.4502470862
304	0.449469459
305	0.4487561401
306	0.4476292419
307	0.4467570967
308	0.4458329322
309	0.4450358927
310	0.4440761677
311	0.4431618353
312	0.4420787611
313	0.4410004988
314	0.4403132961
315	0.4396736249
316	0.4390345791
317	0.438730318
318	0.437747651
319	0.4372807101
320	0.4364123751
321	0.4357850648
322	0.4351319791
323	0.4345272729
324	0.4337799708
325	0.4330403749
326	0.4322138114
327	0.4317249493
328	0.4311185163
329	0.4304443474
330	0.4296566119
331	0.4287852391
332	0.4283472295
333	0.4273327818
334	0.4264864861
335	0.4254150372
336	0.4247667008
337	0.4238776775
338	0.4232449103
339	0.422493392
340	0.4220265858
341	0.4212656046
342	0.4208063016
343	0.4198283075
344	0.4190710995
345	0.4184063503
346	0.4176519278
347	0.4170943437
348	0.4160641695
349	0.4149236078
350	0.4142492333
351	0.4135008933
352	0.4131174861
353	0.4123076279
354	0.4111516544
355	0.4104987374
356	0.4095570254
357	0.4086772193
358	0.4079240794
359	0.4073010558
360	0.406748458
361	0.4059614083
362	0.405102754
363	0.4043149819
364	0.4035541584
365	0.4025944408
366	0.4019243551
367	0.4012800943
368	0.4006918967
369	0.3999433772
370	0.3993705326
371	0.3984582064
372	0.397968596
373	0.3973185341
374	0.3967755597
375	0.3962615068
376	0.3952624146
377	0.3946271936
378	0.3939153543
379	0.3932293814
380	0.3927377935
381	0.3919655992
382	0.3912666546
383	0.3906424825
384	0.390159041
385	0.3893396798
386	0.3885747187
387	0.3880042989
388	0.3876239662
389	0.3870878309
390	0.3865162473
391	0.3858488184
392	0.3853526558
393	0.384771653
394	0.3841643442
395	0.3836028893
396	0.3830052252
397	0.3827011082
398	0.3821272679
399	0.381454898
400	0.3811012349
401	0.3804679039
402	0.3796904269
403	0.3791882619
404	0.3785724968
405	0.377722342
406	0.3769267807
407	0.3761439324
408	0.3757521201
409	0.3749818597
410	0.3742656932
411	0.3735402936
412	0.372780518
413	0.3719540467
414	0.3710689118
415	0.3704919664
416	0.3696394953
417	0.369234987
418	0.3687190862
419	0.3679829839
420	0.3675217353
421	0.3671567667
422	0.3667883633
423	0.36650088
424	0.3658482025
425	0.3653570656
426	0.3646926203
427	0.3643491044
428	0.3637683238
429	0.3633518103
430	0.3628815554
431	0.3624297799
432	0.3618623144
433	0.3612725391
434	0.3608447903
