iter	MultiClass
0	1.085440495
1	1.074151686
2	1.065409344
3	1.054130395
4	1.043799588
5	1.033457995
6	1.023839514
7	1.013180654
8	1.002772536
9	0.9946910594
10	0.9874247401
11	0.9786809158
12	0.9727450168
13	0.9661006657
14	0.9592408685
15	0.9530089124
16	0.9449869818
17	0.9387021357
18	0.9328579062
19	0.9262346231
20	0.9197620357
21	0.9126339925
22	0.9070466458
23	0.9013283143
24	0.8964421175
25	0.8929143065
26	0.8888082688
27	0.8833701166
28	0.8773618212
29	0.8719886596
30	0.8672639603
31	0.8608348837
32	0.8562080874
33	0.8509897512
34	0.8454289395
35	0.8416030705
36	0.838204998
37	0.8365102339
38	0.8312595232
39	0.826462747
40	0.8212531972
41	0.8171811372
42	0.8126594717
43	0.8086309215
44	0.803740456
45	0.7987951335
46	0.7953838834
47	0.7903003869
48	0.7859725255
49	0.7815138896
50	0.7762425
51	0.773416875
52	0.7695143259
53	0.7651396727
54	0.76220192
55	0.757915005
56	0.7545086627
57	0.7501632644
58	0.747266546
59	0.7436222806
60	0.7399515894
61	0.7367448666
62	0.7337387705
63	0.7303688537
64	0.7265210354
65	0.7229653281
66	0.7203302971
67	0.7169338589
68	0.7133522071
69	0.7095915706
70	0.7064046587
71	0.7024327064
72	0.699145086
73	0.6967618468
74	0.6930704405
75	0.6900844137
76	0.6866682997
77	0.6847264352
78	0.6818508558
79	0.6783460567
80	0.6746597985
81	0.6722949974
82	0.6686226232
83	0.6651947472
84	0.6621781816
85	0.6603548365
86	0.6582532109
87	0.6553669074
88	0.6528798408
89	0.6498526312
90	0.6471529828
91	0.6452733009
92	0.6422853213
93	0.6389134604
94	0.6356292728
95	0.6329385743
96	0.6303792785
97	0.6275400758
98	0.6249065128
99	0.6222300585
100	0.6200706737
101	0.6182568125
102	0.6161810327
103	0.6138840162
104	0.6110741367
105	0.6081387017
106	0.6054591065
107	0.6037764995
108	0.601468365
109	0.5992220281
110	0.5970294463
111	0.5942778975
112	0.592442238
113	0.5903536664
114	0.5884075457
115	0.5862272746
116	0.5842754488
117	0.5823061126
118	0.58003466
119	0.5772560648
120	0.5754576255
121	0.573470809
122	0.571558198
123	0.5694836801
124	0.5669277718
125	0.564588427
126	0.5626591833
127	0.5610322053
128	0.5591776856
129	0.5570646925
130	0.555158093
131	0.5530765515
132	0.5512025877
133	0.5490246348
134	0.5471598503
135	0.5451241192
136	0.5431116398
137	0.5416256549
138	0.5396008582
139	0.5383545972
140	0.5364566431
141	0.5344284087
142	0.5332509354
143	0.5310192236
144	0.5301112136
145	0.5281740416
146	0.5263084535
147	0.5239711581
148	0.5221405446
149	0.5201169944
150	0.5180966818
151	0.5161088629
152	0.513950775
153	0.5116300248
154	0.5097544826
155	0.5079852623
156	0.506474678
157	0.5049800054
158	0.5029279243
159	0.5010564657
160	0.499323361
161	0.4977338196
162	0.4962833098
163	0.4948541467
164	0.4931856689
165	0.4918330868
166	0.4905218671
167	0.4886885491
168	0.4870414364
169	0.4857298855
170	0.4846640939
171	0.4828785412
172	0.4817120179
173	0.4803819321
174	0.4788282151
175	0.4769744926
176	0.4748860091
177	0.4734099335
178	0.4721946611
179	0.4705408642
180	0.4689930536
181	0.4674384022
182	0.4661108521
183	0.4649425269
184	0.463464955
185	0.4615816957
186	0.4596269064
187	0.4588133272
188	0.4579363252
189	0.4562936029
190	0.4553658039
191	0.4543805974
192	0.4531511316
193	0.4510112116
194	0.4490472707
195	0.4469118281
196	0.4450995206
197	0.4435052642
198	0.4419778144
199	0.4402775415
200	0.4387240557
201	0.4372097947
202	0.4359420235
203	0.4343396425
204	0.4333144217
205	0.4320819947
206	0.4309412663
207	0.4297686154
208	0.4286691824
209	0.4272459193
210	0.4259181881
211	0.4247822714
212	0.4234036549
213	0.4221137293
214	0.4205157331
215	0.4192694556
216	0.4180260833
217	0.4166928257
218	0.4155667688
219	0.414143544
220	0.4131748336
221	0.4118612872
222	0.4104929883
223	0.4095735671
224	0.4081367814
225	0.4068682084
226	0.4058297282
227	0.4044316218
228	0.4027888432
229	0.4017685098
230	0.4002661321
231	0.3990342201
232	0.3983923511
233	0.3971892027
234	0.3957120735
235	0.3942380969
236	0.3936217165
237	0.3926376915
238	0.3922392642
239	0.3911139046
240	0.3896230635
241	0.3879587969
242	0.3862915221
243	0.3858526725
244	0.3842100291
245	0.3832481151
246	0.38196346
247	0.3808880636
248	0.3797460924
249	0.378266096
250	0.3771351941
251	0.3761324946
252	0.3749159109
253	0.3742031147
254	0.3731610517
255	0.3719656554
256	0.3707377674
257	0.3697996272
258	0.3690146297
259	0.3679115659
260	0.3669149051
261	0.3655235421
262	0.3644788618
263	0.363693337
264	0.3625046676
265	0.360826532
266	0.3597753716
267	0.3585318288
268	0.3570083544
269	0.3558248962
270	0.3547869584
271	0.3536348441
272	0.3524453419
273	0.3515596445
274	0.3506391378
275	0.3497203358
276	0.3489534016
277	0.3476253753
278	0.3469090425
279	0.3459225449
280	0.3450893443
281	0.3440134535
282	0.3430856076
283	0.3419950366
284	0.3412695269
285	0.3407150596
286	0.3396888521
287	0.3388150245
288	0.3381277315
289	0.3373310754
290	0.3363370751
291	0.3352721249
292	0.3344703615
293	0.3335814709
294	0.3325258211
295	0.3317979144
296	0.331334417
297	0.3303824996
298	0.3297271048
299	0.3286469449
300	0.3276891609
301	0.3268966827
302	0.3259637003
303	0.3249956918
304	0.324452504
305	0.3233909076
306	0.3223053096
307	0.3214998947
308	0.3207855005
309	0.3201699638
310	0.3195727908
311	0.318685926
312	0.3177549121
313	0.3167731898
314	0.3159031038
315	0.3150244006
316	0.3141155598
317	0.3128284496
318	0.3120409905
319	0.3112517294
320	0.3103332191
321	0.3097134434
322	0.3092165039
323	0.3083507194
324	0.3075503384
325	0.3065809036
326	0.3054513388
327	0.3048125454
328	0.3040523049
329	0.303324159
330	0.3024276721
331	0.3015599544
332	0.300472916
333	0.2996503329
334	0.2988582971
