iter	Passed	Remaining
0	108	53958
1	205	51094
2	297	49220
3	393	48753
4	484	47920
5	574	47314
6	672	47335
7	767	47187
8	862	47076
9	950	46589
10	1035	46031
11	1127	45866
12	1218	45664
13	1313	45596
14	1409	45581
15	1507	45608
16	1599	45447
17	1691	45285
18	1781	45088
19	1870	44884
20	1961	44751
21	2053	44626
22	2145	44494
23	2240	44442
24	2328	44241
25	2335	42574
26	2423	42454
27	2518	42449
28	2613	42451
29	2710	42458
30	2799	42346
31	2891	42290
32	2984	42239
33	3079	42206
34	3170	42119
35	3259	42005
36	3354	41970
37	3357	40825
38	3448	40768
39	3543	40747
40	3640	40750
41	3730	40675
42	3820	40606
43	3915	40576
44	4008	40533
45	4101	40476
46	4189	40380
47	4284	40342
48	4375	40271
49	4461	40155
50	4550	40058
51	4638	39965
52	4731	39908
53	4826	39859
54	4916	39778
55	5003	39668
56	5096	39607
57	5188	39541
58	5281	39479
59	5371	39391
60	5464	39324
61	5561	39292
62	5649	39190
63	5745	39140
64	5835	39052
65	5926	38968
66	6012	38854
67	6100	38753
68	6195	38699
69	6293	38658
70	6392	38625
71	6482	38531
72	6573	38451
73	6660	38341
74	6754	38277
75	6843	38180
76	6937	38110
77	7029	38031
78	7119	37942
79	7219	37900
80	7308	37808
81	7400	37726
82	7488	37624
83	7579	37534
84	7668	37438
85	7762	37366
86	7854	37285
87	7952	37233
88	8053	37190
89	8150	37129
90	8237	37024
91	8326	36926
92	8418	36843
93	8510	36758
94	8609	36703
95	8715	36676
96	8817	36633
97	8910	36550
98	8997	36443
99	9085	36342
100	9181	36272
101	9271	36175
102	9368	36110
103	9463	36035
104	9554	35941
105	9645	35853
106	9738	35768
107	9841	35721
108	9947	35684
109	10054	35647
110	10144	35550
111	10229	35437
112	10316	35333
113	10429	35312
114	10525	35237
115	10616	35144
116	10708	35054
117	10806	34983
118	10894	34879
119	10987	34792
120	11087	34729
121	11181	34645
122	11271	34548
123	11365	34461
124	11458	34375
125	11553	34292
126	11642	34193
127	11735	34107
128	11826	34013
129	11924	33937
130	12017	33850
131	12108	33756
132	12202	33672
133	12302	33603
134	12401	33530
135	12489	33427
136	12579	33330
137	12664	33220
138	12755	33126
139	12849	33041
140	12945	32961
141	13040	32876
142	13158	32850
143	13280	32833
144	13398	32803
145	13489	32708
146	13581	32613
147	13673	32520
148	13771	32441
149	13867	32356
150	13962	32269
151	14054	32178
152	14151	32095
153	14241	31997
154	14334	31905
155	14427	31815
156	14516	31713
157	14603	31609
158	14696	31519
159	14782	31412
160	14869	31309
161	14962	31218
162	15051	31119
163	15144	31026
164	15239	30941
165	15335	30854
166	15433	30774
167	15534	30699
168	15626	30606
169	15715	30507
170	15806	30410
171	15889	30301
172	15983	30211
173	16093	30152
174	16189	30066
175	16284	29977
176	16378	29889
177	16475	29804
178	16570	29715
179	16660	29619
180	16751	29523
181	16851	29442
182	16949	29360
183	17036	29257
184	17124	29158
185	17217	29065
186	17308	28971
187	17401	28879
188	17494	28786
189	17583	28689
190	17675	28595
191	17764	28496
192	17855	28402
193	17951	28314
194	18039	28215
195	18138	28133
196	18226	28032
197	18324	27950
198	18415	27854
199	18506	27759
200	18603	27674
201	18698	27584
202	18796	27501
203	18889	27407
204	18981	27314
205	19071	27219
206	19160	27121
207	19260	27038
208	19357	26951
209	19449	26858
210	19537	26760
211	19628	26664
212	19717	26567
213	19811	26476
214	19904	26385
215	19996	26291
216	20085	26194
217	20180	26105
218	20270	26009
219	20364	25918
220	20453	25821
221	20543	25725
222	20638	25635
223	20732	25545
224	20833	25462
225	20931	25376
226	21025	25286
227	21115	25190
228	21205	25095
229	21302	25006
230	21396	24916
231	21490	24825
232	21582	24732
233	21692	24658
234	21797	24579
235	21887	24484
236	21980	24392
237	22068	24294
238	22155	24195
239	22248	24102
240	22333	24001
241	22427	23910
242	22517	23814
243	22603	23715
244	22698	23624
245	22796	23537
246	22893	23449
247	22983	23353
248	23068	23254
249	23158	23158
250	23249	23063
251	23337	22967
252	23428	22872
253	23521	22780
254	23614	22688
255	23709	22598
256	23805	22508
257	23896	22414
258	23985	22318
259	24076	22224
260	24170	22132
261	24264	22042
262	24365	21956
263	24459	21865
264	24550	21771
265	24646	21681
266	24736	21586
267	24825	21490
268	24917	21397
269	25012	21306
270	25105	21214
271	25197	21121
272	25290	21028
273	25382	20935
274	25473	20842
275	25565	20749
276	25659	20657
277	25757	20568
278	25848	20474
279	25933	20376
280	26025	20282
281	26114	20187
282	26204	20093
283	26294	19998
284	26383	19903
285	26474	19809
286	26569	19718
287	26659	19624
288	26746	19527
289	26837	19434
290	26947	19354
291	27035	19258
292	27127	19165
293	27222	19074
294	27311	18979
295	27406	18888
296	27501	18797
297	27608	18714
298	27699	18620
299	27784	18523
300	27883	18434
301	27970	18338
302	28057	18242
303	28145	18146
304	28234	18051
305	28323	17956
306	28416	17864
307	28505	17769
308	28599	17678
309	28690	17584
310	28780	17490
311	28875	17399
312	28968	17307
313	29061	17214
314	29154	17122
315	29247	17030
316	29337	16936
317	29431	16844
318	29526	16753
319	29622	16662
320	29712	16568
321	29804	16475
322	29903	16386
323	29987	16289
324	30077	16195
325	30165	16100
326	30258	16008
327	30343	15911
328	30436	15819
329	30526	15725
330	30619	15633
331	30708	15539
332	30801	15447
333	30893	15354
334	30988	15263
335	31090	15174
336	31181	15082
337	31274	14989
338	31370	14898
339	31458	14804
340	31548	14710
341	31640	14617
342	31746	14531
343	31847	14442
344	31935	14347
345	32031	14256
346	32118	14161
347	32212	14069
348	32302	13975
349	32390	13881
350	32485	13790
351	32578	13697
352	32672	13605
353	32761	13511
354	32856	13420
355	32943	13325
356	33040	13234
357	33131	13141
358	33225	13049
359	33323	12959
360	33422	12869
361	33520	12778
362	33617	12687
363	33717	12597
364	33808	12504
365	33911	12415
366	34029	12332
367	34131	12242
368	34220	12148
369	34317	12057
370	34416	11966
371	34511	11874
372	34603	11781
373	34695	11688
374	34788	11596
375	34889	11506
376	34992	11416
377	35088	11324
378	35184	11232
379	35284	11142
380	35380	11050
381	35477	10958
382	35569	10865
383	35662	10773
384	35761	10682
385	35858	10590
386	35953	10498
387	36045	10404
388	36143	10313
389	36248	10223
390	36382	10142
391	36483	10051
392	36584	9960
393	36673	9866
394	36763	9772
395	36852	9678
396	36938	9583
397	37027	9489
398	37121	9396
399	37215	9303
400	37300	9208
401	37388	9114
402	37475	9020
403	37561	8925
404	37660	8833
405	37747	8739
406	37836	8645
407	37925	8551
408	38018	8458
409	38113	8366
410	38197	8271
411	38288	8178
412	38386	8086
413	38487	7995
414	38575	7901
415	38665	7807
416	38751	7713
417	38842	7619
418	38936	7527
419	39032	7434
420	39123	7341
421	39214	7248
422	39311	7156
423	39411	7064
424	39501	6970
425	39587	6876
426	39676	6783
427	39767	6689
428	39859	6596
429	39951	6503
430	40041	6410
431	40130	6316
432	40223	6224
433	40323	6132
434	40415	6039
435	40507	5946
436	40595	5852
437	40692	5760
438	40789	5667
439	40881	5574
440	40969	5481
441	41059	5387
442	41148	5294
443	41239	5201
444	41331	5108
445	41425	5015
446	41519	4922
447	41615	4830
448	41712	4737
449	41809	4645
450	41901	4552
451	41987	4458
452	42074	4365
453	42161	4271
454	42250	4178
455	42340	4085
456	42435	3992
457	42531	3900
458	42621	3807
459	42714	3714
460	42823	3622
461	42910	3529
